company_id,company_name,SASB,publication_date,issue_main,severity,reach,novelty
1101,台泥,提煉與礦產加工,2018/1/31,E4 廢棄物及有毒物質管理,-3,1,2
1101,台泥,提煉與礦產加工,2018/2/28,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2018/3/31,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2018/5/31,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2018/6/22,G3 控制權與席次,0,1,2
1101,台泥,提煉與礦產加工,2018/6/22,G3 控制權與席次,0,1,2
1101,台泥,提煉與礦產加工,2018/6/30,E4 廢棄物及有毒物質管理,-3,1,2
1101,台泥,提煉與礦產加工,2018/6/30,S4 員工資訊統計,-1,1,2
1101,台泥,提煉與礦產加工,2018/7/31,S4 員工資訊統計,-2,1,2
1101,台泥,提煉與礦產加工,2018/8/31,E4 廢棄物及有毒物質管理,-3,1,2
1101,台泥,提煉與礦產加工,2018/9/30,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2018/10/4,G3 控制權與席次,0,1,2
1101,台泥,提煉與礦產加工,2018/10/22,G3 控制權與席次,0,1,2
1101,台泥,提煉與礦產加工,2018/12/31,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2019/3/19,G2 管理領導,0,1,2
1101,台泥,提煉與礦產加工,2019/3/31,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2019/4/24,G2 管理領導,-4,1,2
1101,台泥,提煉與礦產加工,2019/4/24,G2 管理領導,-4,1,1
1101,台泥,提煉與礦產加工,2019/5/30,G2 管理領導,-1,1,2
1101,台泥,提煉與礦產加工,2019/5/31,E4 廢棄物及有毒物質管理,-2,1,2
1101,台泥,提煉與礦產加工,2019/5/31,G2 管理領導,-1,1,2
1101,台泥,提煉與礦產加工,2019/5/31,S4 員工資訊統計,-3,1,2
1101,台泥,提煉與礦產加工,2019/6/30,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2019/8/31,E4 廢棄物及有毒物質管理,-1,1,2
1101,台泥,提煉與礦產加工,2019/9/12,G3 控制權與席次,0,1,2
1101,台泥,提煉與礦產加工,2019/9/30,S4 員工資訊統計,-1,1,2
1101,台泥,提煉與礦產加工,2020/1/9,G3 控制權與席次,-1,1,2
